po_number,vendor,item_description,quantity,unit_price,order_date
PO-2025-0401,Acme Industrial Supply,Stainless Steel Hex Bolts M10x40,500,0.42,2025-10-01
PO-2025-0402,Global Electronics Corp,USB-C Charging Cable 2m,200,3.75,2025-10-02
PO-2025-0403,Pacific Paper Products,A4 Copy Paper 80gsm Ream,150,4.20,2025-10-03
PO-2025-0404,Acme Industrial Supply,Nylon Lock Nuts M10,500,0.18,2025-10-03
PO-2025-0405,Summit Office Solutions,Ergonomic Desk Chair Model S200,25,289.00,2025-10-07
PO-2025-0406,Global Electronics Corp,Wireless Mouse BT 5.0,100,12.50,2025-10-08
PO-2025-0407,Pacific Paper Products,Manila File Folders Letter Size,300,0.35,2025-10-10
PO-2025-0408,TechParts Unlimited,SSD NVMe 1TB PCIe Gen4,50,67.99,2025-10-11
PO-2025-0409,Acme Industrial Supply,Flat Washers M10 Zinc,1000,0.08,2025-10-14
PO-2025-0410,Summit Office Solutions,Monitor Stand Adjustable,40,34.50,2025-10-15
PO-2025-0411,Global Electronics Corp,HDMI Cable 3m High Speed,150,5.25,2025-10-17
PO-2025-0412,TechParts Unlimited,DDR5 RAM 16GB 5600MHz,30,42.99,2025-10-18
PO-2025-0413,Pacific Paper Products,Sticky Notes 76x76mm Yellow,400,1.15,2025-10-21
PO-2025-0414,Acme Industrial Supply,Thread Sealant Tape PTFE,200,1.80,2025-10-22
PO-2025-0415,Summit Office Solutions,Standing Desk Converter,15,199.00,2025-10-24
PO-2025-0416,TechParts Unlimited,Cat6 Ethernet Cable 5m,100,3.45,2025-10-25
PO-2025-0417,Global Electronics Corp,USB Hub 7-Port Powered,60,18.75,2025-10-28
PO-2025-0418,Pacific Paper Products,Whiteboard Markers Assorted 12pk,80,6.50,2025-10-29
PO-2025-0419,Acme Industrial Supply,Spring Washers M8 Stainless,800,0.12,2025-10-30
PO-2025-0420,TechParts Unlimited,Webcam 1080p Autofocus,45,29.99,2025-10-31
